persuade |  v. 说服 vt. 劝说,说服
confirm |  v. 确定, 批准, 证实
jealous |  adj. 妒忌的,戒备的
curiosity |  n. 好奇, 好奇心
behave |  vt. &vi. 举止,行为,举止端正
abstract |  n. 摘要,抽象的东西 // adj. 抽象的,理论的 // vt. 移除,摘要,偷 // vi. 做摘要
acknowledgment |  n. 承认, 承认书, 感谢 // =acknowledgement
aspect |  n. 方面, 外貌, 外观; 方位, 方向
battered |  adj. 撞坏的, 打垮的, 磨损的, 憔悴的 // 动词batter的过去式和过去分词
burnout |  n. 燃料烧尽, 精疲力尽
bystander |  n. 旁观者
condemned |  adj. 被责难的, 被宣告有罪的 // 动词condemn的过去式和过去分词
conflation |  n. 混合，熔合
conglomerate |  adj. 密集而固结的, 成簇的 // n. 联合企业, 密集体, 城郊混合区 // vt. 凝聚成一团,使结成,结合
consistency |  n. 坚持, 一致性, 强度, 硬度, 浓稠度
corporation |  n. 公司, 法人, 集团
counselor |  n. 顾问, 参事, 法律顾问
cursive |  adj. 草书的, 草书体的 // n. 草书, 草书原稿
dependency |  n. 依赖，属国, 保护地，从属物
despicable |  adj. 可鄙的, 卑劣的
distressing |  adj. 使人痛苦的, 令人烦恼的 // 动词词distress的现在分词形式
enumerate |  v. 列举,计算,枚举 // [计算机] 枚举
exploration |  n. 探险,踏勘,探测
fiscal |  adj. 财政的,国库的
fixate |  v. 早期停止性的成熟, 视线移向, 注视
flexitime |  n. 弹性上班制 // =flextime
fluent |  adj. 流利的, 流畅的
footnote |  n. 脚注, 补充说明 // vt. 给...作脚注
frantic |  adj. 疯狂的, 狂乱的
fuzzy |  [计算机] 模糊的 // adj. 毛茸茸的，模糊的，含糊不清的（感情）
gentle |  adj.温和的； 文雅的； 高尚的 // vt.使温和； 使驯服 // n.蛆； 饵
gift |  n. 礼物,天赋,赋予 // vt. 赠送,赋予
gist |  n. 要点, 要旨
harass |  v. 使...困扰,使...烦恼,反复袭击
hectic |  adj. 兴奋的,持续发热的,发红的
horseplay |  n. 喧闹的嬉戏
immersion |  n. 浸入(专心)
inexcusable |  adj. 不可宽恕的, 不可原谅的
injury |  n. 受伤处,损害,伤害
innovator |  n. 改革者, 刷新者
institution |  n. 机构,惯例,创立
interactive |  adj. 相互作用的 // [计算机] 交互的
interpreter |  n. 译员,口译者，解释程序
manuscript |  adj. 手抄的 // n. 手稿, 原稿
marital |  adj. 婚姻的
meditation |  n. 沉思,冥想
monolingual |  adj. 仅用一种语言的, 仅懂一种语言的
nanny |  n. 保姆，&lt;非正式&gt;祖母，外祖母（英）
originality |  n. 独创性，创造力，新颖
overworked |  adj. 工作过度的, 过分劳累的 // 动词overwork的过去式和过去分词形式
paperback |  n. 纸封面本, 普及本, 平装书
paraphrase |  n. 释义, 解述, 改写 // v. 改写, 解述
passion |  n. 激情,热情
precondition |  n. 先决条件，前提 // vt. 预先准备
proficiency |  n. 熟练,精通
publication |  n. 出版, 发行, 出版物, 公布, 发表
regression |  n. 复原,逆行,退步
reprisal |  n. 报复, 报仇, 报复性劫掠
restatement |  n. 再声明, 重述
retaliation |  n. 报复, 反击
ringleader |  n. 魁首，头目
setting |  n.镶嵌； 环境； 装置； （某事、戏剧、小说等的）背景 // v.放( set的现在分词)； 安插； 树立； 安排
sibling |  n. 兄弟姐妹
stand up |  v. 起立，（论点、论据等）站得住脚的，经久耐用
subheading |  n. 副标题
taunt |  n. 辱骂, 嘲弄 // v. 嘲弄
teleconferencing |  远程会议, 电信会议
unambiguous |  adj. 不含糊的, 清楚的
unoriginal |  adj. 非原先的(无独创精神的, 模仿的, 抄袭的)
verbally |  adv. 口头地，词句地, 逐字地
vocalization |  n. 发声的样子, 发声法, 发声
vocalize |  v. 发声
vocational |  adj. 职业的
workload |  n. 工作量
constitute |  vt. 构成,建立,任命
corporate |  adj.社团的, 法人的, 共同的, 全体的
prevalent |  adj. 流行的, 普遍的
administration |  n. 行政,管理,中央政府
consist |  n. 组成 // vi. 组成,存在,一致
medieval |  adj. 中世纪的
magnitude |  n.巨大，广大； 重大，重要； 量级； （地震）级数
mould |  n. 模子(样板,形状,霉菌,土,类型) // vt. 模压(铸造,发霉,形成,轮廓相符合) // vi. 发霉
virtually |  adv. 几乎,实际上
cookery |  n. 烹调法, 烹调术
deceive |  vt. 欺骗 // vi. 行骗
acquire |  vt. 占有,获得,取得,学到
arthritis |  n. 关节炎
current |  n. (水、气、电)流, 趋势 // adj. 流通的, 现在的, 最近的
literature |  n. 文学, 文献
harsh |  adj. 粗糙的, 使人不舒服的，刺耳的, 严厉的，大约的
venomous |  adj. 恶意的, 有毒的
hybrid |  n. 混血儿,杂种,混合物 // adj. 混合的,杂种的,混合语的
conservative |  adj. 保守的,守旧的 // n. 保守派(党),保守的人
obtain |  vt. 获得, 得到 // vi. 通用, 流行, 存在
weakness |  n. 软弱
astound |  v. 使惊骇, 使大吃一惊 // adj. <古>震惊的
compare |  vt.&vi. 比较,比喻,对照 // n. 比较，对照
strip |  vi.剥光； 表演脱衣舞； 剥除 // vt.除去，剥去； 剥夺； 删除； 清除，拆除 // n.长条，条板； 带状地带（或森林、湖面等）； （足球队员的）运动服
preparation |  n. 准备
neglect |  n. 疏忽,忽略,怠慢 // vt. 疏忽,忽视,不顾
attain |  vt. &vi. 达到,获得
specification |  n. 规格,详述,详细说明书
visible |  adj. 可见的, 看得见的
evaporate |  v. 蒸发, 失去水分, 消失
erosion |  n. 腐蚀,侵蚀
module |  [计算机] 模块 // n. 组件
decline |  n. 衰微, 跌落; 晚年 // v. 降低, 婉谢
acidity |  n. 酸性, 酸度
adenosine |  n. [生化]腺苷, 腺嘌呤核苷
allowance |  n. 限额，定量 // n. 津贴,零用钱
altruistic |  adj. 利他主义的, 无私的
ancestral |  adj. 祖先的, 祖传的
approved |  adj. 经核准的,被认可的
arena |  n. 竞技场
carbo |  n. &lt;口&gt;碳水化合物食品，含糖食品 // n. &lt;俚&gt;汽化器 // pref. 表示“碳，碳水化合物” // =carb
carbohydrate |  n. 碳水化合物, 糖
chief |  adj. 主要的, 首席的 // n. 首领
collude |  v. 串通, 共谋
comparison |  n. 比较
competitiveness |  n. 竞争能力
complexity |  n. 复杂，复杂性, 复杂的事物
conflicting |  adj. 相冲突的 // 动词conflict的现在分词形式
contraction |  n. 收缩, 缩写式, 痉挛
contribution |  n. 贡献,捐款(赠)
creatine |  n. [生化]肌氨酸，肌肉素
dedicated |  adj. 专注的,献身的 // adj. 专用的
discouraging |  adj. 令人气馁的 // vbl. 使...气馁
doctoral |  adj. 博士的
endorsement |  n. 支持,认可,背书
formulary |  n. 公式集, 处方一览表, 定式 // adj. 规定的, 公式的, 药方的
geographical |  adj. 地理的,地理学的 // =geographic
handbook |  n. 手册, 指南
idiosyncratic |  adj. 特质的, 异质的, 特殊的
indulgence |  n. 沉溺,放纵,嗜好 // n. 【宗】(天主教)特赦;豁免
ingest |  v. 摄取，咽下
insurer |  n. 保险公司, 承保方
jerk |  n. (口语)笨蛋,性情古怪的人,急拉,肌肉抽搐 // vt. &vi. 痉挛,急拉,急推,急动
knowledgeable |  adj. 聪明的,有知识的
marathon |  n. 马拉松, 耐力的考验
metaphorical |  adj. 隐喻性的, 比喻性的
multifaceted |  adj. 多层面的
paramedic |  n. 护理人员
perfectionist |  n. 十全十美主义者, [哲]至善论者
perimeter |  n. 周长, 周界, 边缘
persuasive |  adj. 有说服力的 // n. 动机(诱因)
pharmaceutical |  adj. 药物的(医药的) // n. 药品(成药)
pharmacist |  n. 药剂师，药商
pharmacy |  n. 药房,配药学
phosphocreatine |  n. [生化]磷酸肌酸
placebo |  n. 安慰剂，安慰话
portfolio |  n. 文件夹，作品集，证券投资组合
predominate |  v. 掌握,控制,成为主流
pretax |  adj. 扣除税捐前的
promotional |  adj. 推销的, 增进的, 晋升的
reappraise |  vt. 重新评估, 重新评价
rekindle |  v. 重新点燃
relentless |  adj.不懈的； 坚韧的，不屈不挠的； 不间断的； 未减轻的
rendition |  n. 演奏, 解释，翻译 // n.投降
resilience |  n. 跳回(回弹,弹力,弹性变形,冲击值)
retail |  n. 零售 // vt. 零售 // adj. 零售的 // adv. 以零售形式
robust |  adj. 强壮的,强健的,粗野的,需要体力的,浓的
rudimentary |  adj. 基本的(初步的, 起码的, 根本的)
saturation |  n. 饱和(浸透, 磁性饱和, 色度学章度)
shallow |  adj. 浅的, 肤浅的, 浅显易懂的 // n. (pl.)浅滩, 浅处 // v. 变浅
skiing |  n. 滑雪, 滑雪术
speculation |  n. 沉思, 推测, 投机
spinning |  adj. 纺织品的 // n. 纺织
spouse |  n. 配偶 // vt. 和...结婚
stereoscopic |  adj. 实体镜的
strategic |  adj. 战略的,重要的,基本的
symbolism |  n. 象征主义, 象征, 符号化
tenure |  n.占有（职位，不动产等）； 占有期； 终身职位
toothed |  adj. 有齿的，锯齿的，锯齿状的
turbid |  adj. 混浊的, 泥水的, 浓密的
wavy |  adj. 波浪形的, 起伏的
subject |  n. 科目, 主题; 缘由 // n. (君主国)国民; 实验对象 // adj. 服从的, 易患的 // vt. 使隶属, 使服从; 使遭遇
rumor |  n. 谣言,传闻 // vt. 谣传
absenteeism |  n. 旷课, 旷工
output |  n. 产量,输出,输出功率,输出端 // vt. 输出(信息等)
vigorous |  adj. 精力充沛的,元气旺盛的,有力的
compress |  vt. 压缩, 压榨 // n. [医]敷布
manipulate |  v. 操纵,利用,假造 // [计算机] 操作
indulge |  vt. 纵情于,放任,迁就 // vi. 放纵自己于...
proceed |  vi. 继续进行; 开始, 着手
spiritual |  adj. 精神的, 心灵的 // n. (尤指美国南部黑人的)圣歌
negative |  adj. 否定的,负的,消极的 // n. 底片，负数，否定 // vt. 否定
statue |  n. 塑像,雕像
penalty |  n. 处罚,惩罚
vision |  n. 视觉,先见之明,光景,视力,眼力,幻想，影像 // vt. 幻想
probe |  n. 探针,调查,探测器 // vt. 用探针测,详细调查 // vi. 详细调查
convey |  vt. 传达,运输,转移 // [计算机] 输送
fatigue |  n.   疲乏,疲劳,累活 // adj. 疲劳的 // vt.  使...疲劳,使...心智衰弱 // vi.  疲劳
demolish |  v. 毁, 破坏, 粉碎
survey |  n. 调查; 纵览, 视察, 测量 // vt. 审视, 视察, 通盘考虑, 调查; 勘测 // vi. 测量, 勘测
cultivate |  vt. 培养,耕作,栽培,结交(朋友), 促进增长, 教养
certificate |  n. 证(明)书,执照 // vt. 批准，认可，发证书给...
evolve |  vt. &vi. 进展,进化,展开
dividend |  n. 红利,股息,意外之财, 彩金, 被除数
chronic |  adj. 长期的,慢性的,惯常的
submarine |  n. 潜水艇 // adj. 水底的, 海底的 // vt. 用潜艇袭击 // vi. 滑入...底下
sore |  adj. 疼痛的,痛心的 // n. 痛处,疮口
impede |  v. 妨碍,阻碍,阻止
legal |  adj. 法律的,合法的,法定的
alternative |  adj. 两者择一的; 供选择的; 非主流的 // n. 替换物, 取舍
stimulate |  vt. 刺激,激励,鼓舞 // vi. 起刺激作用
academic |  n. 教学人员,学术人员 // adj. 学院的,理论的,学术性的
asset |  n. 资产,有用的东西,优点,长处
accountancy |  n. 会计工作，会计学
acupuncturist |  n. 针灸医生, 针疗医生
adjunct |  n. 附属物, 附件, 修饰语
ammonia |  n. 氨水,阿摩尼亚
archipelago |  n. 群岛, 多岛海
artifact |  n. 人工制品(制造物,石器)
at fault |  出毛病，有责任，失去嗅迹而不能继续追踪
awareness |  n. 认识(了解,知道)
basalt |  n. 玄武岩
brittle |  adj. 易碎的
cavort |  vi. 腾跃, 嬉闹
chiropractor |  n. 脊椎指压治疗者, (脊柱)按摩疗法医生, 按摩师
clientele |  n. 诉讼委托人, （总称）客户
come along |  vt. 一道走
concur |  v. 意见相同, 一致, 互助
context |  n. 上下文, 环境,背景
contradiction |  n. 反驳,矛盾,不一致,否认
convection |  n. 传达, 传导, 对流
coyote |  n. [动]小狼, 丛林狼
dearth |  n. 缺乏, 粮食不足, 饥谨
disenchantment |  n. 失望，不抱幻想
disillusion |  n. 觉醒，幻灭 // vt. 醒悟，使幻想破灭
doomsday |  n. 世界末日，末日审判
dub |  vt. 配音；轻点；打击；授予称号 // n. 笨蛋；鼓声
duplicate |  n. 副本,复制品 // adj. 复制的,二重的 // vt. 复制,重复 // vi. 重复 // [计算机] 复制
emeritus |  adj. 名誉退休的 // n. 名誉退休者
engrossed |  adj. 全神贯注的 // 动词engross的过去式和过去分词形式
entrepreneurial |  adj. 企业家的, 企业性质的
entrepreneurship |  企业家[主办人等]的身分[地位、职权、能力], 创业者, 创业学, 创业精神
exodus |  n. 大批的离去 // Exodus：（《圣经·旧约》中的）出埃及记
exploitative |  adj. 开发的，利用的，剥削的
extrusion |  n. 挤出, 推出, 逐出, 压成品
exuberant |  adj. 繁茂的, 丰富的，充满活力的
finitude |  n. 有限，限定
fluency |  n. 流利，流畅
generative |  adj. 生殖的, 生产的, 有生殖力的
grinding |  adj. 磨的, 碾的, 磨擦的 // 动词grind的现在分词形式
herbalism |  n. 草药医术学
hiccup |  n.嗝； 连续地打嗝； 暂时性的小问题； 短暂的停顿 // vi.打嗝
in this respect |  在这方面
informant |  n. 通知者, 密告者 // n. 为语言研究提供资料的人
international |  adj. 国际的 // n. 国际组织
introspection |  n. 内省, 反省, 自省
kaleidoscope |  n. 万花筒，千变万化
kitten |  n. 小猫 // vi. 生育小猫
length |  n. 长度,篇幅
macadamia |  n. 澳洲坚果树，马卡达姆坚果
methodology |  n. 一套方法,方法学
naturalistic |  adj. 自然的,自然主义的,博物学的
naturopath |  n. 自然疗者, 理疗家
officiate |  v. 执行职务, 主持（仪式等）
optimum |  n. 最适宜 // adj. 最适宜的
opulence |  n. 富裕(丰富)
osteopath |  n. 整骨疗法家
overlie |  vt. 放上面(覆盖在...上面,叠加)
photocopier |  n. 复印机
playmate |  n. 玩伴, 游伴
polymeric |  adj. 聚合的，聚合物的
predatory |  adj. 掠夺的, 掠夺成性的, 捕食生物的
preventative |  adj. 预防性的 // n. 预防法
prowess |  n. 英勇,勇敢,超凡技术
realization |  n. 实现,领悟,实得
sawdust |  n. 锯屑
scenario |  n. 情节梗概, 剧本
scrupulous |  adj. 小心谨慎的, 细心的，严谨的
simplistic |  adj. 过分简单化的
splendor |  n. 光辉, 壮丽, 显赫
spreadsheet |  电子表格, 数据表
stratosphere |  n. [气]同温层, 最上层, 最高阶段
substitution |  n. 代理,替换,交换
supersede |  vt. 取代,接替,使放在一边
tectonic |  adj. 筑造的，建筑的，构造的 // 【地】地壳构造的
treacle |  n. 糖浆，过分甜蜜的声调
unravel |  vt.解开； 阐明； 拆散 // vi.被解开； 被拆散
wag |  vt. 摇摆；摇动；饶舌 // vi. 摆动；喋喋不休；蹒跚而行 // n. 摇摆；爱说笑打趣的人
quota |  n. 配额,限额,最低票数
contaminate |  vt. 弄脏,污染
balance |  n. 天平, 平衡, 差额, 平静, 调和, 制衡 // vt. 使平衡, 称重量, 权衡, 抵消 // vi. 建立平衡, 均衡
simulate |  v. 假装,冒充,模仿,模拟
eligible |  adj. 可以选的,有资格的,合格的 // n. 有资格者,合格者,适任者
charity |  n. 慈善机关(团体),仁慈,宽厚
recognize |  vt. 认出,认可,承认,意识到,表示感激
inspiration |  n. 灵感,吸入,鼓舞人心(的东西)
nurture |  n. 养育, 照顾, 教育, 滋养, 营养品 // vt. 养育, 给与营养物, 教养, 扶持
afflict |  vt. 使苦恼,折磨
desirable |  adj. 值得有的,令人满意的,有吸引力的 // n. 有吸引力的人
detect |  vt. 发现,探测信息,侦查 // vi. 当侦探
innocent |  adj. 无罪的, 不懂事的, 无知的, 无辜的
crack |  vt.破裂，打开； （使…）开裂； 说（笑话）； 开瓶 // vi.断裂，折断； 碎裂声，爆裂声； 镜子破裂了； 失去控制，衰退 // n.裂缝； 试图； 缝隙； （可听到响声的）重击 // adj.训练有素的； 技艺高超的； 优秀的； 一流的
tan |  n. 鞣制革,黄褐色 // adj. 黄褐色的,鞣皮的 // vt. 晒黑,鞣(革),鞭打 // vi. 晒成棕褐色
classify |  v. 分类,归类,分等
shrewd |  adj. 精明的
bibliography |  n. (有关某一专题的)书目,参考书目
flexible |  adj. 灵活的,易弯曲的,柔韧的,可变通的
impress |  n. 印象,特徵,印记 // vt. 使...有印象,影响,印刻,传送 // vi. 给人印象
span |  n.共轭（马、骡）； 跨度，墩距； 一段时间； [航] 跨绳 // vt.缚住或扎牢； 跨越时间或空间； 以掌测量； 以手围绕测量类似测量
booming |  adj. 兴旺的, 繁荣的，轰隆作响的
remedy |  n. 药物,治疗法,补救 // vt. 治疗,补救,矫正
discretion |  n. 谨慎,判断力,个人选择,选择的自由 // [计算机] 判定
acoustic |  adj. 美声的，听觉的,音感教育,音响学的
source |  n. 来源
beehive |  n. 蜂箱
calorie |  n. 卡，卡路里(热量单位) // =calory
asymmetry |  n. 不对称
urban |  adj. 城市的
stage |  n. 阶段,舞台,驿站 // v. 上演,表演,乘驿车旅行
application |  n.适用，应用，运用； 申请，请求，申请表格； 勤勉，用功； 敷用，敷用药
temper |  n. 脾气；（钢等）回火；性情；倾向 // vt. 使回火；锻炼；调和；使缓和 // vi. 回火；调和
crater |  n. 弹坑, 火山口
unprejudiced |  adj. 无偏见的, 没有成见的, 公平的
respect |  n. 尊敬, 敬重; 关系, 方面 // vt. 尊敬, 尊重; 关于, 涉及
indicate |  v.指明, 表明, 显示, 象征, 指示
survive |  vt. 比…活得长,幸免于难,艰难度过 // vi. 活着, 继续存在
acrobatic |  adj. 杂技的
afield |  adv. 远离着, 在远处，上战场 // adj. 远离的，偏离的，在战场的
barb |  n. 倒钩 // n. 尖刻、刻薄的言语 // vt. 给...装倒钩
beetle |  n. 甲虫 // n. 大锥，小木槌 // vi. 忙碌地来回，突出，高悬 // adj. 显著的，突出的
beneficiary |  n. 受惠者,受益人
blood clot |  n. 血块，血凝块，血栓
by contrast |  adv. 相反
chaplain |  n. 本堂神父, 专职教士
clear-cut |  adj. 轮廓鲜明的, 清晰的 // n. 林木被伐光的林地 // v. 皆伐
clerical |  n. 牧师 // adj. 书记的, 事务上的, 抄写员的
compete with |  与...竞争
consequential |  adj. 作为结果的(引出重要结果的, 自高自大的)
consumerism |  n. 用户至上主义, 商品的消费和销售性服务
crossbow |  n. 石弓, 弩
discontinue |  v. 中断, 中止, 停止
dispersal |  n. 散布, 传播, 分散，疏散区
dung |  n. 粪 // vt. 上粪
ejection |  n. 喷射，喷出
embezzlement |  n. 盗用, 挪用, 侵占
excusable |  adj. 可原谅的, 可辩解的
fabulous |  adj.极好的，极妙的； （美貌）惊人的； 寓言般的； 难以置信的
fluorescent |  n. 日光灯 // adj. 萤光的
footage |  n. 以尺计算长度, 尺数, 影片的镜头
formality |  n. 礼节,程序,拘谨
gasification |  n. 气化
glaze |  v. 装以玻璃, 上釉, 变得光滑，变呆滞 // n. 釉, 覆罩的一层
grenade |  n. 手榴弹，榴弹
hunch |  n. 肉峰, 预感, 块 // v. 弯腰驼背, 弓起背部, 耸肩
inextricably |  adv. 分不开地
insulation |  n. 隔离, 孤立, 绝缘
leave aside |  vt. 搁置，不考虑
leukemia |  n. 白血病
luxuriant |  adj. 繁茂的, 丰富的, 肥沃的
mesh |  n. 网孔,网丝,陷阱 // vt. 以网捕捉，啮合，匹配 // vi. 适合 // [计算机] 网络
moody |  adj. 易怒的，喜怒无常的,情绪化的 // Moody // n. 穆迪(人名)
murky |  adj. 黑暗的, 朦胧的，烟雾弥漫的，含糊的，隐晦的
organizational |  adj. 组织的
paperclip |  n. 纸夹
patriotic |  adj. 爱国的
perquisite |  n. 额外补贴, 临时津贴
pip |  n. 点，星（肩章符号） // n. 水果的种子，果核 // n. 拨号音 // v. (英）在最后关头被击败 // v. (小鸟等)唧唧喳喳地叫
plough |  n. 犁, 耕地 // v. 用犁耕田, 耕犁
proclaim |  vt. 正式宣布, 公布, 声明, 赞扬, 显示出
projectile |  n. 发射体, 抛射物 // adj. 发射的, 投射的
propose |  v. 计划, 打算, 向...提议; 求婚
pulverize |  v. 磨成粉, 粉碎
puppetry |  n. (总称)木偶，木偶制作(或演出)
pyrotechnic |  adj. 烟火的, 灿烂的 // n. 烟火，烟火中的易燃材料 // =pyrotechnical
racquet |  n. 球拍, 拍球戏之一种, 球拍型雪鞋
realm |  n. 王国,领域
regurgitate |  v. （使）涌回, （使）喷回, （使）流回
rehabilitate |  vt. 改造, 使康复, 使恢复（名誉等）
saber |  n. 军刀 // vt. 用马刀砍 // =sabre（美）
saltpeter |  n. 硝石
saltpetre |  n. 硝酸钾(硝石)
scamper |  n. 蹦跳 // v. 奔跑,快跑 // vi. 涉猎,浏览
scour |  v.冲刷； 擦亮； 四处搜索； （用泻药）泻 // n.擦； 冲刷； 洗涤剂
scrub |  n. 用力擦洗,矮树,渺小之物 // vt.& vi. 用力擦洗
serotonin |  n. 含于血液中的复合胺
showcase |  n. (玻璃)陈列柜, 陈列橱
simplicity |  n. 单纯, 简朴
sizeable |  adj. 相当大的 // =sizable
smoke |  n. 烟, 无常的事物, 抽烟 // v. 吸烟, 以烟熏, 冒烟
sophistication |  n. 老练，精明，复杂，精密，有教养，诡辩, 强词夺理
spiral |  n. 旋涡, 螺旋形之物 // adj. 螺旋形的, 盘旋的 // v. 成螺旋状下降或上升, 成螺旋状旋转
suffragette |  n. 妇女参政权论者
investigate |  vt. &vi. 调查,研究 // [计算机] 研究
scratch |  n. 抓痕,抓的声音,乱写 // vt. &vi. 搔痒,抓,抹掉 // adj. 使皮肤发痒的，潦草的
casualty |  n. 变故,伤亡者,伤亡人数
vanish |  vi. 消失,不见了,绝迹 // vt. 消失
superficial |  adj. 表面的,肤浅的
withdraw |  vt. 撤回,取回,撤退 // vi. 退回,撤退
cooperate |  vi. 合作,协力
Mediterranean |  adj. 地中海(的) // n. 地中海
internal |  adj. 国内的, 内在的，身体内部的
despite |  prep. 不管, 尽管 // v.憎恨, 轻视
landfill |  n. 垃圾堆
quartz |  n. 石英
fertile |  adj. 肥沃的,能繁殖的 // n. 多产,肥沃
subtropical |  adj. 亚热带的
virtue |  n. 美德,优点;贞操
identification |  n. 身份的证明 // n. 视为同一,证明同一,确认
friction |  n. 摩擦,摩擦力,分歧
archive |  n. 档案,档案馆 // vt. 存档
cardiovascular |  adj. 心脏血管的
surge |  n. 汹涌,澎湃 // vi. 汹涌；强烈感到；飞涨 // vt. 放开,松手
worthy |  adj. 有价值的,可尊敬的,值得的,配得上的 // n. 知名人士, 杰出人物
illustration |  n. 插图,例证,说明,图解
screen |  n.屏幕； 银幕； 屏风 // vt.筛（煤、矿石等）； 拍摄； 放映（电影）； 庇护
devastating |  adj. 毁灭性的, 令人震惊的, 强有力的
external |  n. 外部 // adj. 外部的,外用的,客观的,表面的
filter |  n. 筛选,滤波器,过滤器,滤色镜 // vt. &vi. 过滤,渗透 // [计算机] 过滤
spacecraft |  n. 宇宙飞船
dubious |  adj. 怀疑的,可疑的
propel |  v. 推进, 驱使
blend |  vt. &vi. 混合 // n. 混合物
condense |  v. 浓缩, 摘要, 缩短
a vicious circle |  n.(疾病等的)恶性循环,[逻]循环论证
albeit |  conj. 虽然(即使)
aura |  n. 气味, 气氛; n. 光环, 光圈
biltong |  n.干肉片,干肉
bud |  n. 芽, 花蕾 // vi. 发芽, 萌芽 // vt. 使发芽
capsize |  v. 翻覆,倾覆
chronology |  n. 年代学，年表
deregulation |  n. 撤消管制规定
ethereal |  adj. 轻巧的，飘逸的，精致的，飘渺的 // adj. [化学]乙醚的
fraught |  adj. 充满(不愉快事物）的, 伴随的, 忧伤的，忧虑的
hauler |  n. 拖曳者，承运人，运输机，运输工
hundredth |  n. 第一百，百分之一 // adj. 第一百的，百分之一的
immunoglobulin |  n. 免疫球蛋白
incubator |  n. 孵卵器,细菌培养器,早产儿保育器
jigsaw |  n. 缕花锯，竖锯，拼图游戏 // vt. 用竖锯锯，使互相交错搭接
keyhole |  n. 钥匙孔 // adj. 内幕的
ligament |  n. 韧带,结带, 纽带
maturity |  n. 成熟 //  (支票等的)到期
millimeter |  n. 毫米
mishandle |  vt. 粗暴对待，马虎对待
modal |  adj. 模态的
orthopedic |  adj. 整形外科的
ostrich |  n. 鸵鸟；鸵鸟般的人
pliable |  adj. 易曲折的, 柔软的, 圆滑的
pointless |  adj. 不尖的, 钝的, 不得要领的
principal |  adj. 主要的 // n. 负责人, 校长, 资本
prototype |  n. 原型,雏形
reception |  n. 接待,招待会,接收,欢迎,接受
receptionist |  n. 接待员
recommendation |  n. 推荐, 介绍
rental |  n. 地租的,总额,地租收入 // adj. 租借的,地租的
spit out |  吐出
staff room |  教研室
start up |  vi. 惊跳起来(开动,开始工作,突然出现,出发,开办)
swivel |  n. 转换仪器，转体 // vt. 使旋转, 使回旋 // vi. 旋转，回旋
talcum |  n. 滑石，滑石粉
teddy |  n. 泰迪(熊) // n. 妇女连衫裤
theoretically |  adv. 理论上
underpin |  v. 从下头支持, 支撑, 支持
unobtrusive |  adj. 不突出的, 不显眼的, 谦虚的
velocity |  n. 速度, 速率, 迅速
enhance |  vt. 提高,加强,增加
decay |  n. 衰退, 腐败 // v. 衰退, 腐败
chink |  n. 裂缝, （法律上的）漏洞 // n. 硬币，叮当声 // n. （贬）中国人 // v. (使)叮当响 // adj. （贬）中国人
alight |  vi. 落下，走下，偶然发现 // adj. 燃烧的，点亮的
incorporate |  vt.组成公司； 包含； 使混合； 使具体化 // vi.包含； 吸收； 合并； 混合
aerobics |  n. 有氧运动法；增氧健身法
speculate |  vt. 推测,好奇 // vi. 深思,投机
lag |  n. 落后, 滞后, 落后的人, (两事件之间的)时间间隔, 耽搁, 桶盖 // vt. 落后, 投掷, 盖上桶盖, 耽搁 // vi. 走得慢, 落后 // adj. 最后的
studio |  n. 工作场所,画室，照相室，制片厂
inland |  adj. 内陆的, 国内的 // adv. 内陆地 // n. 内陆
chip |  n. 薄片,碎屑，芯片 // vt. 削,切,削成碎片 // vi. 折断成碎片
generate |  vt. 产生,发生,引起 // [计算机] 产生
motivate |  v. 给与动机,刺激,提高...的学习欲望
charge |  n. 电荷, 指控, 费用; 照顾, 责任 // vt. &vi 控诉, 加罪于, 要价, 赊帐, 充电, 管理
regardless |  adj. 不注意的, 粗心的 // adv. 不顾
candidate |  n. 候选人, 求职者
commence |  v. 开始；着手；<英>获得学位
extinct |  adj. 灭绝的,熄灭的 // n. 消灭,熄灭
beverage |  n. 饮料
brochure |  n. 小册子
intensity |  n. 激烈,强度,强烈,剧烈
applicant |  n. 申请人
conceive |  vt. &vi. 构思,以为,怀孕
intellectual |  n. 有知识者,知识份子,凭理智做事者 // adj. 智力的,知性的,聪明的
bounce |  n. 跳,反跃,(活)弹力 // vt. 弹跳,向...透露注意 // vi. 弹起,重新恢复
inductive |  adj. 归纳的,动人的 // adj. [电]感应的
fraction |  n. 分数, 小部分, 破片
spoil |  n. 战利品, 奖品 // v. 宠坏, 溺爱, 破坏, 腐坏
initiative |  adj. 创始的, 初步的, 自发的 // n. 第一步, 首创精神; 主动权
promote |  vt. 促进, 提升, 升迁; 发起; 促销
cast |  n. 演员阵容, 投掷 // v. 投, 掷, 抛
extreme |  adj. 极度的,极端的,尽头的,严重的,末端的 // n. 极端,极限
analogous |  adj. 类似的
aluminum |  n. 铝
arteriosclerosis |  n. 动脉硬化
autonomy |  n. 自治
bureaucratic |  adj. 官僚的，繁文缛节的
cortisol |  n. ［生］皮质(甾)醇
credibility |  n. 可信用, 确实性, 可靠
crusade |  n. 改革运动 // Crusade // n.十字军东征 // vi. 从事改革
curtail |  vt. 缩减, 削减，截短
elixir |  n. 长生不老药, 仙丹妙药
emblazon |  vt. 饰以纹章, 使有光彩，颂扬
encyclopedic |  adj. 百科全书的, 知识渊博的
extravagance |  n. 奢侈, 浪费, 放肆的言行
fairground |  n. 游乐场
